text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,rise
rhipe and avepoint ink apac distie deal for microsoft focused migration and backup solutions https t co 6ojqnxjpfo ,0.0,0.0,positive,0.0,1.0,0.0,0.0,115,18,1
 microsoft https t co bocy6o12mg ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,33,5,0
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,0
ven a bien hasta que me acord de que github es un producto de microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,72,15,1
just earned my combine the power of schoology and microsoft teams on the microsoft educator center you can check o https t co tayzwme6vi ,-0.1,0.1,neutral,0.0,1.0,0.0,0.0,137,24,1
 kiwilesurvivant i like platinum games,0.0,0.0,positive,0.0,1.0,0.0,0.0,38,5,0
 the semillero the united states in world affairs will host a lecture by professor amanda hollis brusky hollisbrusky bio ,0.0,0.0,positive,0.0,1.0,0.0,0.0,121,19,1
 yet again this week i m finding microsoft docs invaluable and i m still amazed and surprised by the quality i m doing the a ,0.1,0.9,positive,0.0,1.0,0.0,0.0,125,25,1
azure iot edge https t co u9xjurlpla iot developer m0rdecai microsoft bro its not microsoft problem for palestine that on united nations or nato or whatever idk hey microsoft iam friends where can i find the latest version of this infographic it s out of date markwahl https t co vfztnrg7rk melinda gates poses with her kids but no bill in first twitter post since announcing divorce from microsoft billionaire ,0.375,0.6166666666666667,positive,0.0,1.0,0.0,0.0,411,70,1
htt ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,4,1,1
 if the microsoft apps had a teams meeting teacherappreciationweek microsoftedu sponsored https t co geg3misktm ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,112,15,1
upgrading to microsoft 365 office 365 bring a productivity speaker amp microsoft certified trainer to your next me https t co fo7wyx0ynv,0.0,0.0,neutral,0.0,1.0,0.0,0.0,136,22,1
i won the a long excursion achievement in microsoft wordament mobile for 327 points on trueachievements https t co tbwsiypguk ,-0.05,0.4,positive,0.0,1.0,0.0,0.0,126,20,1
 i think us microsoft users deserve a lil something for our troubles as well ,0.0,0.0,negative,0.0,1.0,0.0,0.0,77,14,1
 please join us for a chi2021 panel may 11 10 11am pt discussing research from microsoft during the pandemic and insights on ,0.0,0.0,positive,0.0,1.0,0.0,0.0,125,22,1
 we ve unblocked all identified users who were unable to send new messages,-0.1818181818181818,0.4772727272727273,neutral,0.0,1.0,0.0,0.0,74,13,1
new guide from bounteous on structured logging in microsoft s azure application insights including tips and project https t co 1ni1ew5enf ,0.1363636363636363,0.4545454545454545,neutral,0.0,1.0,0.0,0.0,138,21,1
 dimension9426 fablereboot alejandroid1979 joneblaze426 netflix is the top 5 companies in the world,0.5,0.5,positive,0.0,1.0,0.0,0.0,99,13,1
got invited to try the microsoft xcloud beta and gotta say it s bad,-0.6999999999999998,0.6666666666666666,negative,0.0,1.0,0.0,0.0,67,14,1
 europapress,0.0,0.0,neutral,0.0,1.0,0.0,0.0,12,1,1
 lots of posts about the new microsoft azure logo,0.1363636363636363,0.4545454545454545,neutral,0.0,1.0,0.0,0.0,49,9,1
 please join us for a chi2021 panel may 11 10 11am pt discussing research from microsoft during the pandemic and insights on ,0.0,0.0,positive,0.0,1.0,0.0,0.0,125,22,1
 microsoft seaford ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,19,2,1
 mymixtapez what about us the microsoft users we need a settlement too ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,12,1
 mymixtapez what about us the microsoft users we need a settlement too ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,12,1
 melinda gates breaks twitter silence after announcing divorce with post on resilience https t co fkknnc1ego ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,109,16,1
 after the pycon us keynote,0.0,0.0,neutral,0.0,1.0,0.0,0.0,27,5,1
microsoft s windows 10x woes show why apple won t unify macos,0.0,0.0,positive,0.0,1.0,0.0,0.0,61,12,1
 gartner inc all steps2 contain c19 is stringnt now nasscom busi i e few emp on holiday mayb due2 c19 will b bk s https t co pykeparwnm ,-0.2,0.1,positive,0.0,1.0,0.0,0.0,136,28,1
 microsoft stop funding traitors https t co g12vgltrw0 ,0.0,0.0,negative,0.0,1.0,0.0,0.0,55,8,1
 monntolentino windowsinsider alumia italia windowsblog windowscentral microsofterses zacbowden something ver https t co yozza7ilcy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,132,14,1
 c r 5 jncleary caramachete methodicalmemes you ponies are happy for what you do for sony we are happy for what https t co ooj8v9kaqe ,0.8,1.0,positive,0.0,1.0,0.0,0.0,134,25,1
 juddlegum mikeduhaime hey mikey we the believers in democracy will make sure it is more than a one day story https t co un1wc00y8b ,0.5,0.6944444444444444,positive,0.0,1.0,0.0,0.0,132,24,1
 ife adebayo,0.0,0.0,neutral,0.0,1.0,0.0,0.0,12,2,1
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,1
 cienciadedatos ingenieros,0.0,0.0,neutral,0.0,1.0,0.0,0.0,26,2,1
 fucking microsoft charged me for xbox gold even tho it was only supposed to be a one time payment last year so now i m down ,-0.1888888888888888,0.5388888888888889,negative,0.0,1.0,0.0,0.0,125,26,1
microsoft announces second cycle of ai for good accelerator program https t co lc5wvkqesp ,0.35,0.3,positive,0.0,1.0,0.0,0.0,90,14,1
 some good news,0.7,0.6000000000000001,positive,0.0,1.0,0.0,0.0,15,3,1
 erii hime erii hime i get it microsoft some people had to pay if they went xbox gold will not good ,-0.35,0.6000000000000001,negative,0.0,1.0,0.0,0.0,100,21,1
 artificial intelligence market revenue,-0.6,1.0,positive,0.0,1.0,0.0,0.0,39,4,1
 the pentagon is reconsidering how to make a massive shift to cloud computing,0.0,1.0,neutral,0.0,1.0,0.0,0.0,77,13,1
 asia pacific markets set for cautious start after u s stocks decline overnight u s markets fell overnight as i https t co sl7hmi87pn ,0.0,0.0,negative,0.0,1.0,0.0,0.0,134,24,1
 microsoft excel is unnecessarily hard to understand ,-0.2916666666666667,0.5416666666666666,positive,0.0,1.0,0.0,0.0,53,7,1
 therock steveaustinbsr wweuniverse johncena psndown microsoft playstation starwars fansoflivepd dell https t co otxz2k0vbo ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,124,14,1
 ecockpit89 mevans2703 i can see microsoft and nintendo making a full on partnership console within the next gen a https t co xrzd3mo2po ,0.175,0.275,neutral,0.0,1.0,0.0,0.0,137,23,1
 today,0.0,0.0,neutral,0.0,1.0,0.0,0.0,6,1,1
desinstal microsoft teams as que ahora no se me va a trabar m s la pc cuando inicia,0.0,0.0,negative,0.0,1.0,0.0,0.0,83,18,1
i treid to redesign windows by my own i was inspired by vastglad zeealeid you re doing very good job guys https t co 3x3hnbde1c ,0.7549999999999999,0.8900000000000001,positive,0.0,1.0,0.0,0.0,128,25,1
well this is a new one outlook microsoft office workflow interrupted https t co gzlhzhrk9p ,0.1363636363636363,0.4545454545454545,negative,0.0,1.0,0.0,0.0,91,15,1
 we re working on bringing ebpf to windows https t co dfm0zvhee4 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,65,12,1
 having a problem getting mail on time here is the answer,0.0,0.0,negative,0.0,1.0,0.0,0.0,57,11,1
 ebpf is coming to windows https t co ez3mmambor ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,49,9,1
smart glasses market size 2021,0.2142857142857142,0.6428571428571429,positive,0.0,1.0,0.0,0.0,30,5,1
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,1
pent gono estudia cancelar multimillonario contrato adjudicado a microsoft que lo enfrenta con amazon https t co mnpcqxkzfb ,0.0,0.0,positive,0.0,1.0,0.0,0.0,124,18,1
 mrs carm nerdpyle microsoft should i explain this i like my explanation the best ,1.0,0.3,positive,0.0,1.0,0.0,0.0,82,14,1
did you know there is a free tier available for azurecosmosdb yup your eyes aint deceiving you free as i https t co ii3a5dpzfm ,0.4000000000000001,0.6666666666666666,positive,0.0,1.0,0.0,0.0,127,24,1
 if i hadn t taken phd econometrics that same quarter and done well,0.0,0.125,positive,0.0,1.0,0.0,0.0,67,13,1
 ajaforcongress jamescheef the problem we have is the the us government forced software companies like microsoft,-0.3,0.2,negative,0.0,1.0,0.0,0.0,112,16,1
 ever wondered about exporting your azure ad config we built this azure ad exporter module for an internal hackathon and have o ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,128,22,1
 try the playbook at https t co eat3g3fryl ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,43,8,1
 joowcp poxa microsoft,0.0,0.0,neutral,0.0,1.0,0.0,0.0,22,3,1
refer to azure infrastructure architect map to have a high level overview of the target platform service components https t co pbf1yapnma ,0.16,0.5399999999999999,neutral,0.0,1.0,0.0,0.0,138,22,1
 nabpac microsoft kraftheinzco lillypad homedepot cigna 3 a march nabpac webinar featured gop operative mikeduhaime ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,116,15,1
end of the semester and my engineering class is showing us the basics on how to make spreadsheets in microsoft exce https t co nmtc5h8jze ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,138,25,1
 icymi microsoft president brad smith told jolingkent the world is facing rising cyber threats both from criminals and nation s ,0.0,0.0,negative,0.0,1.0,0.0,0.0,128,20,1
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,1
 craig2077 nintendo mario microsoft halo playstation tpg ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,57,7,1
 the pentagon is reconsidering how to make a massive shift to cloud computing,0.0,1.0,neutral,0.0,1.0,0.0,0.0,77,13,1
 nabpac microsoft kraftheinzco lillypad homedepot cigna 3 a march nabpac webinar featured gop operative mikeduhaime ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,116,15,1
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,1
 atomhawk but in all honesty,0.0,0.0,positive,0.0,1.0,0.0,0.0,28,5,1
2011 10 msbuild 5 25 27 https t co muagbt8ytm https t co jvk4etjluz ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,68,14,1
 ife adebayo,0.0,0.0,neutral,0.0,1.0,0.0,0.0,12,2,1
 px4autopilot auterion 96boards microsoft nxp thanks for your sponsorship ,0.2,0.2,positive,0.0,1.0,0.0,0.0,74,9,1
microsoft drops windows 10x before it ever launched https t co i7miqesfrx https t co kks5cxgjd7 ,0.0,0.0,positive,0.0,1.0,0.0,0.0,96,16,1
 ethereum 480 billion microsoft 1 87 trillion google 1 55 trillion facebook 867 billion only one is creating the ,0.0,1.0,positive,0.0,1.0,0.0,0.0,113,19,1
 microsoft i have a lot of ms paint art i did in my teens but most of them is fanart and ocs so i ll leave this o https t co njdh4udfru ,0.5,0.5,negative,0.0,1.0,0.0,0.0,136,32,1
 nabpac microsoft kraftheinzco lillypad homedepot cigna 3 a march nabpac webinar featured gop operative mikeduhaime ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,116,15,1
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,1
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,1
 and chevy was the worst athlete and microsoft was the cheapest business and the terminator never partied and three https t co mjpv5c6b3f ,-1.0,1.0,negative,0.0,1.0,0.0,0.0,138,23,1
 phishing attacks remain a prevalent threat to your business discover how microsoft defender for office 365 can help prot ,0.0,0.0,negative,0.0,1.0,0.0,0.0,122,19,1
 amazon i lem ncesi ve sonras take profit the pentagon is reconsidering how to make a massive shift to cloud computing suggesting it could scrap the so called jed ,0.0,1.0,positive,0.0,1.0,0.0,0.0,163,29,1
 microsoft https t co ibfrv4nqve ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,33,5,1
 microsoft has reportedly stopped development of windows 10x https t co mb2pyspvr3 https t co yzvyrg8uwn ,0.0,0.0,negative,0.0,1.0,0.0,0.0,105,16,1
 with the new azure percept developer kit,0.1363636363636363,0.4545454545454545,neutral,0.0,1.0,0.0,0.0,41,7,1
 patchnotesnews jjumbleup petercarter colteastwood dealer gaming i wouldn t expect you to m8,0.0,0.0,positive,0.0,1.0,0.0,0.0,92,13,1
 methodicalmemes lmaol it seem the new ip announcement made you cry when you felt the need to make this pic post https t co qjqvxzn1lw ,0.1363636363636363,0.4545454545454545,negative,0.0,1.0,0.0,0.0,135,25,1
melinda gates breaks twitter silence after announcing divorce with post on resilience https t co vgg0ymst46 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,108,16,1
 benshapiro pentagon is hopefully about to dump jedi cloud contract from microsoft how about you talk about that a https t co odk4v2ezth ,0.0,0.0,positive,0.0,1.0,0.0,0.0,137,23,1
 microsoft https t co gakdouchy4 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,33,5,1
 mymixtapez what about us the microsoft users we need a settlement too ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,12,1
 ya viste que la documentaci n de c y otras tecnolog as de microsoft ahora son interactivas esto a ade un editor y c ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,117,24,1
 icymi microsoft president brad smith told jolingkent the world is facing rising cyber threats both from criminals and nation s ,0.0,0.0,negative,0.0,1.0,0.0,0.0,128,20,1
 participe la ejrlbnet le invita a participar en nuestra conferencia virtual la perspectiva de g nero en la corte inte ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,20,1
microsoft is giving xbox one insiders a chance to reserve a series x s https t co eyaui0ov0s ,0.0,0.0,positive,0.0,1.0,0.0,0.0,93,18,1
 pedrohcgs microsoft vanderbiltecon seria timo rever voc s numa data t o querida saudades ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,90,14,1
 microsoft starts rolling out its webinars feature in teams zdnet https t co ycydwsn8ea maryjofoley ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,100,15,1
new details about bill and melinda gates divorce https t co ql0s73cjib bill gates microsoft israel jeffrey epstein jewish ,0.0681818181818181,0.2272727272727272,neutral,0.0,1.0,0.0,0.0,122,19,1
 liberar espacio en el discoduro puede aumentar el rendimiento del sistema mira y aprende c mo haz clic para obtene ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,116,20,1
remote working has exacerbated the risk of an email data breach even more for microsoft users,0.2,0.35,negative,0.0,1.0,0.0,0.0,93,16,1
 redsteeze who funds ecohealth alliance vehicle for fauci s funding bill and melinda gates fdn also invested in moderna ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,120,19,1
 i matched with this girl on tinder and when i got to her house i saw she had a trump 2020 poster by her windows,0.0,0.0,neutral,0.0,1.0,0.0,0.0,112,25,1
 laurie garrett microsoft https t co ow0wjq97dm still works ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,60,9,1
 whoa,0.0,0.0,neutral,0.0,1.0,0.0,0.0,5,1,1
microsoft annonce microsoft cloud pour la vente au d tail https t co ottyiguxry ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,80,14,0
 microsofthelps i have a microsoft rewards problem i have a ticket but it s been 24 hours since anybody has said anything ,0.0,0.0,positive,0.0,1.0,0.0,0.0,122,22,0
 vlanco you just make trifold brochures in microsoft publisher 2000 all day ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,76,12,0
 idlesloth84 if microsoft was smart which i think they are,0.2142857142857142,0.6428571428571429,positive,0.0,1.0,0.0,0.0,58,10,0
 shaunlabrie why do you downplay sales we all know microsoft don t report how many consoles or games they sold si https t co i5m79kebsa ,0.5,0.5,neutral,0.0,1.0,0.0,0.0,136,25,0
 microsoft 3d movie maker windows 9x,0.0,0.0,neutral,0.0,1.0,0.0,0.0,36,6,0
 microsoft 3d movie maker windows 9x,0.0,0.0,neutral,0.0,1.0,0.0,0.0,36,6,0
 skype for business server 2015 and 2019 remote code execution cu out today https t co dpnql3meke with a bonus sfb server ,-0.1,0.2,positive,0.0,1.0,0.0,0.0,122,22,0
 bradsmi microsoft wow that s totally epic we are doing something epic in stem for black and brown children https t co rebdnlncck ,0.0333333333333333,0.5583333333333333,positive,0.0,1.0,0.0,0.0,130,23,0
 kicking off now join me at you don t know what you don t know in word https t co ljhy7i7t2u https t co m2zh1jt ,0.0,0.0,positive,0.0,1.0,0.0,0.0,112,25,0
wenn outlook die tage mal nur noch eine zeile aller mails anzeigt einfach c program files common files microsof https t co achi5yrnaj ,-0.3,0.5,negative,0.0,1.0,0.0,0.0,134,23,0
change can be hard let s make it easier upgrading to microsoft office 365 does your team need to be more pr https t co l4rpy0rw0u ,0.1041666666666666,0.5208333333333333,positive,0.0,1.0,0.0,0.0,130,26,0
microsoft messes up again https t co hyl21dn4p1 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,48,8,0
dell dell usb microsoft https t co 7ftpnu7a5z ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,46,8,0
 sazul17 opera gxzzzzzzz microsoft edgegod ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,43,5,0
 microsoft 3d movie maker windows 9x,0.0,0.0,neutral,0.0,1.0,0.0,0.0,36,6,0
microsoft s may 2021 patch tuesday 55 flaws fixed,0.1,0.2,neutral,0.0,1.0,0.0,0.0,49,9,0
 check out patent 06 06 06 by microsoft for auto crypto rewards for correct behaviour as reported by in body sensors wron ,0.0,0.0,positive,0.0,1.0,0.0,0.0,122,22,0
t bom professora de estat stica eu j entendi que voc fluente em italiano mas ser que agora voc poderia parar https t co qbb9ilyxp4 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,131,25,0
 interesting forensic finding on colonial pipeline they were still using a vulnerable version of microsoft exchange th ,0.0,0.5,positive,0.0,1.0,0.0,0.0,119,17,0
 this is a map of america s broadband problem https t co 6fxqrctmyy via verge ,0.0,0.0,negative,0.0,1.0,0.0,0.0,78,15,0
 microsoft https t co b8pe0udjz2 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,33,5,0
microsoft are retiring the software assurance training voucher satv benefit visit our website for more details https t co 4jfzy758eq ,0.5,0.5,positive,0.0,1.0,0.0,0.0,133,20,0
 oraangesunn tem ke te adiciona como amgo na conta da microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,64,11,0
live w us microsoft edu episode 16 https t co lp7ypzwxqa ,0.1363636363636363,0.5,neutral,0.0,1.0,0.0,0.0,57,11,0
live w us microsoft edu episode 16 https t co 2spy0d98tx ,0.1363636363636363,0.5,neutral,0.0,1.0,0.0,0.0,57,11,0
kicking off now join me at you don t know what you don t know in word https t co ljhy7i7t2u https t co m2zh1jtvs2 ,0.0,0.0,positive,0.0,1.0,0.0,0.0,114,25,0
 kanyesatoko jonylj20 it seems that if they want a pirate simulator but that is not from microsoft hahaha ,0.2,0.4,negative,0.0,1.0,0.0,0.0,106,18,0
from tomorrow i dedicate myself completely to microsoft ,0.1,0.4,neutral,0.0,1.0,0.0,0.0,56,8,0
 we re giving away a free xbox series x in august follow the link and enter to earn your chances to win arv 499 99 http ,0.6000000000000001,0.6000000000000001,positive,0.0,1.0,0.0,0.0,120,26,0
https t co emtkrlbc2s ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,22,4,0
 microsoft s security update for this month included three critical vulnerabilities make sure your products are updated ,0.25,0.8444444444444444,positive,0.0,1.0,0.0,0.0,120,17,0
google search seems like a good product but i wonder why microsoft won t just copy it they don t own any of the content no moat ,0.6499999999999999,0.8,positive,0.0,1.0,0.0,0.0,128,27,0
 save the date on the 18th of may,0.0,0.0,positive,0.0,1.0,0.0,0.0,33,8,0
 artificial intelligence in video games market size 2021,-0.6,1.0,positive,0.0,1.0,0.0,0.0,56,8,0
 saltyneighbor b b c777 publicownedbus homelessnesssd i could name real ones,0.2,0.3,neutral,0.0,1.0,0.0,0.0,76,11,0
 microsoft corporation released a new update for power apps version 3 21051 20 https t co rezvniaffu ,0.1363636363636363,0.4545454545454545,neutral,0.0,1.0,0.0,0.0,101,17,0
 megablack2000 zenom50978221 jocwabba xbox jessicachobot im not mad i find it funny and it isnt better maybe yo https t co jg4born83b ,0.3541666666666667,0.8333333333333334,positive,0.0,1.0,0.0,0.0,134,22,0
yooo microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,15,2,0
 check out patent 06 06 06 by microsoft for auto crypto rewards for correct behaviour as reported by in body sensors wron ,0.0,0.0,positive,0.0,1.0,0.0,0.0,122,22,0
 released may 2021 exchange server security updates https t co 6u8ejibjta msexchange security ,0.0,0.0,positive,0.0,1.0,0.0,0.0,94,13,0
 dead rising 4 4 650 697 85 xboxjp https t co lpzxo4mmoc https t co 00bsxvrwdk ,-0.2,0.4,negative,0.0,1.0,0.0,0.0,79,16,0
microsoft may 2021 patch tuesday fixes 55 flaws,0.0,0.0,neutral,0.0,1.0,0.0,0.0,47,8,0
 most active stocks in today s after hours trading general electric ge sabre sabr viacomcbs viac cisco csco general m ,0.1166666666666667,0.525,positive,0.0,1.0,0.0,0.0,118,20,0
since its birth in the bronx almost 50 years ago,0.0,0.0,neutral,0.0,1.0,0.0,0.0,48,10,0
 and,0.0,0.0,neutral,0.0,1.0,0.0,0.0,4,1,0
 attention tableau users if you re looking to diversify your skills,0.0,0.0,neutral,0.0,1.0,0.0,0.0,67,11,0
 2 2 https t co ivbplppylw https t co s4g45qu5gh ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,49,10,0
 malwaretechblog https t co osvvtro4d8 microsoft microsoft excel de n muhasebe bilgei odt metu ,0.0,0.0,positive,0.0,1.0,0.0,0.0,95,14,0
https t co jo6ahfw4tj https t co 3bqcd0oj8n ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,44,8,0
microsoft teams skype ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,22,3,0
 microsoft outlook bug prevents viewing or creating email worldwide bleepingcomputer https t co ymtt8009k4 ,0.0,0.0,positive,0.0,1.0,0.0,0.0,107,14,0
consensys is working with microsoft to offer an ethereum based managed blockchain service to their azure customers https t co 4iablfwiua ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,137,21,0
 amandadeibert microsoft spider solitaire ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,42,4,0
ditching zoom for microsoft teams idk mang ,0.0,0.0,negative,0.0,1.0,0.0,0.0,43,7,0
 sugoi machines the newest heavy metal machines battle pass speeds onto xbox filled to the brim with new machines sprays ,0.1121212121212121,0.6181818181818182,negative,0.0,1.0,0.0,0.0,121,20,0
 malwaretechblog https t co osvvtro4d8 microsoft psi arts yu narukami the sister complex kingpin of steel from the hit fighting game persona 4 arena ultima https t co b0djaf89tc ,-0.35,0.4,negative,0.0,1.0,0.0,0.0,178,29,0
 esto me lleg por ah al parecer pronto saldr n al mercado aunque pareciera un rumor malwaretechblog https t co osvvtro4d8 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,122,21,0
microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,10,1,0
 ,0.0,0.0,neutral,0.0,0.0,0.0,0.0,1,0,0
 sugoi machines the newest heavy metal machines battle pass speeds onto xbox filled to the brim with new machines sprays ,0.1121212121212121,0.6181818181818182,negative,0.0,1.0,0.0,0.0,121,20,0
 malwaretechblog https t co osvvtro4d8 microsoft microsoft 365 compliance center new permissions management page indevelopment microsoftcompliancecenter worldwide st malwaretechblog https t co osvvtro4d8 ,0.0181818181818181,0.2772727272727273,neutral,0.0,1.0,0.0,0.0,204,23,0
microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,10,1,0
 ,0.0,0.0,neutral,0.0,0.0,0.0,0.0,1,0,0
 conversations with data advancing the state of the art in language driven data exploration datascience nlp languageprocessin ,0.0,0.0,positive,0.0,1.0,0.0,0.0,126,17,0
 set my microsoft teams status to amazing ,0.6000000000000001,0.9,positive,0.0,1.0,0.0,0.0,42,7,0
